PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
HD 120084 b                   ,  6.400,       ,   2142.0,0.483,103.9,  0.0, 30.1, 610.5, 513.4, 360.5, 303.1,  5.824,  7.378, 13.417, 14.152
HD 121504 b                   ,  1.510,       ,     63.3,0.030, 90.0,  0.0,  0.0, 631.8, 531.3, 613.1, 515.6,  0.861,  1.090,  1.911,  2.016
HD 124330 b                   ,  0.750,       ,    270.7,0.340, 18.3,  0.0, 37.7, 518.6, 436.0, 363.9, 306.0,  1.038,  1.315,  2.313,  2.440
HD 12484 b                    ,  2.980,       ,     58.8,0.070,325.0,  0.0,  0.0, 572.9, 481.7, 534.1, 449.1,  0.615,  0.779,  1.368,  1.443
HD 125595 b                   ,  0.020,       ,      9.7,0.000, 90.0,  0.0,  0.0, 818.0, 687.9, 818.0, 687.9,  0.387,  0.491,  0.900,  0.949
HD 12648 b                    ,  1.960,       ,    133.6,0.040, 90.0,  0.0,  0.0,1278.2,1074.8,1228.0,1032.6,  6.092,  7.716, 14.059, 14.829
HD 126525 b                   ,  0.237,       ,    960.4,0.035,247.5,  0.0,  0.0, 240.2, 202.0, 232.0, 195.1,  0.706,  0.894,  1.582,  1.669
HD 12661 b                    ,  2.430,       ,    262.7,0.380, 90.0, 27.3, 59.3, 491.3, 413.1, 329.3, 276.9,  0.867,  1.098,  1.943,  2.050
HD 12661 c                    ,  1.812,       ,   1708.0,0.031, 90.0,  0.0,  0.0, 208.0, 174.9, 201.6, 169.5,  0.808,  1.024,  1.807,  1.906
HD 128356 b                   ,  0.890,       ,    298.2,0.570, 84.2, 32.0, 44.4, 419.5, 352.7, 219.5, 184.6,  0.473,  0.599,  1.089,  1.149
HD 130322 b                   ,  1.150,       ,     10.7,0.029,193.0,  0.0,  0.0, 950.2, 799.0, 923.0, 776.2,  0.567,  0.719,  1.282,  1.353
HD 131496 b                   ,  1.800,       ,    896.0,0.181, 58.0,  0.0,  0.0, 456.3, 383.7, 380.0, 319.5,  2.464,  3.122,  5.685,  5.996
HD 13167 b                    ,  3.310,       ,   2613.0,0.563,265.0, 20.2, 32.3, 375.5, 315.8, 198.6, 167.0,  1.739,  2.203,  3.897,  4.110
HD 13189 b                    , 10.950,       ,    471.6,0.270, 90.0,  0.0,  0.0,1553.1,1306.0,1177.5, 990.1, 16.203, 20.523, 38.547, 40.657
HD 132563 b                   ,  1.490,       ,   1544.0,0.220,158.0, 34.9, 42.3, 287.4, 241.7, 229.8, 193.2,  1.119,  1.418,  2.472,  2.607
HD 133131 A b                 ,  1.420,       ,    649.0,0.330, 16.0, 56.8, 74.7, 343.4, 288.8, 243.8, 205.0,  0.777,  0.985,  1.736,  1.831
HD 133131 A c                 ,  0.420,       ,   3568.0,0.490,100.0,  0.0,  0.0, 222.9, 187.5, 130.4, 109.7,  0.777,  0.985,  1.736,  1.831
HD 133131 B b                 ,  2.500,       ,   5769.0,0.610,103.0,  0.0,  0.0, 214.4, 180.3, 105.5,  88.7,  0.753,  0.954,  1.681,  1.773
HD 134060 b                   ,  0.032,       ,      3.3,0.450,261.8,  0.0,  0.0,2321.9,1952.5,1430.0,1202.5,  0.890,  1.128,  1.979,  2.088
HD 134060 c                   ,  0.092,       ,   1291.6,0.110,227.3,  0.0,  0.0, 248.6, 209.1, 222.6, 187.2,  0.890,  1.128,  1.979,  2.088
HD 134606 b                   ,  0.029,       ,     12.1,0.092,157.0,  0.0,  0.0,1115.7, 938.1,1017.3, 855.5,  0.818,  1.037,  1.838,  1.939
HD 134606 c                   ,  0.036,       ,     58.9,0.055,172.0,  0.0,  0.0, 645.0, 542.4, 610.4, 513.3,  0.818,  1.037,  1.838,  1.939
HD 134606 d                   ,  0.141,       ,    966.5,0.092,194.0, 28.1, 46.7, 259.0, 217.8, 236.2, 198.6,  0.818,  1.037,  1.838,  1.939
HD 134606 e                   ,  0.007,       ,      4.3,0.200, 54.0,  0.0,  0.0,1674.5,1408.1,1367.2,1149.7,  0.818,  1.037,  1.838,  1.939
HD 134606 f                   ,  0.018,       ,     26.9,0.081, 63.0,  0.0,  0.0, 849.1, 714.0, 782.9, 658.4,  0.818,  1.037,  1.838,  1.939
HD 134987 b                   ,  1.610,       ,    258.2,0.230, 90.0,  0.0, 39.3, 460.0, 386.8, 363.9, 306.0,  0.905,  1.146,  2.024,  2.134
HD 134987 c                   ,  0.820,       ,   5000.0,0.120,195.0,  0.0,  0.0, 169.8, 142.8, 150.5, 126.6,  1.018,  1.290,  2.287,  2.413
HD 135694 b                   ,       ,  0.255,     15.9,0.000, 90.0,  0.0,  0.0, 963.8, 810.5, 963.8, 810.5,  0.796,  1.008,  1.780,  1.878
HD 136352 b                   ,  0.015,  0.148,     11.6,0.000, 90.0,  0.0,  0.0,1076.8, 905.5,1076.8, 905.5,  0.770,  0.975,  1.725,  1.819
HD 136352 c                   ,  0.035,  0.260,     27.6,0.000, 90.0,  0.0,  0.0, 805.9, 677.7, 805.9, 677.7,  0.770,  0.975,  1.725,  1.819
HD 136352 d                   ,  0.028,  0.229,    107.2,0.000, 90.0,  0.0,  0.0, 512.8, 431.2, 512.8, 431.2,  0.770,  0.975,  1.725,  1.819
HD 136418 b                   ,  2.140,       ,    464.3,0.250, 90.0,  0.0,  0.0, 565.4, 475.4, 438.0, 368.3,  2.209,  2.798,  5.066,  5.344
HD 136925 b                   ,  0.840,       ,   4540.0,0.103, 24.1,  0.0,  0.0, 168.5, 141.7, 152.0, 127.8,  0.894,  1.133,  1.998,  2.108
HD 137388 b                   ,  0.200,       ,    330.0,0.360, 90.0, 79.9,100.0, 369.2, 310.5, 253.3, 213.0,  0.549,  0.696,  1.251,  1.319
HD 137496 b                   ,  0.013,  0.117,      1.6,0.000, 90.0,  0.0,  0.0,2536.5,2133.0,2536.5,2133.0,  1.201,  1.521,  2.681,  2.828
HD 137496 c                   ,  7.660,       ,    479.9,0.477,321.0, 45.3, 66.1, 525.7, 442.0, 312.8, 263.0,  1.201,  1.521,  2.681,  2.828
HD 13808 b                    ,  0.035,       ,     14.2,0.071, 90.0,  0.0,  0.0, 816.1, 686.3, 760.1, 639.2,  0.464,  0.588,  1.062,  1.120
HD 13808 c                    ,  0.031,       ,     53.8,0.156, 90.0,  0.0,  0.0, 549.5, 462.1, 469.5, 394.8,  0.464,  0.588,  1.062,  1.120
HD 13908 b                    ,  0.865,       ,     19.4,0.020,185.0,  0.0,  0.0,1205.7,1013.9,1181.9, 993.8,  1.458,  1.847,  3.222,  3.398
HD 13908 c                    ,  5.130,       ,    931.0,0.120,185.0, 79.7,100.0, 350.5, 294.7, 310.7, 261.2,  1.458,  1.847,  3.222,  3.398
HD 13931 b                    ,  2.200,       ,   4218.0,0.020, 90.0,  0.0,  0.0, 167.4, 140.8, 164.1, 138.0,  0.962,  1.219,  2.145,  2.262
HD 1397 b                     ,  0.415,  1.026,     11.5,0.251,  2.1,  0.0,  0.0,1689.5,1420.7,1307.3,1099.3,  1.629,  2.063,  3.665,  3.866
HD 14067 b                    , 15.300,       ,   2744.0,0.650,105.9,  0.0, 48.3, 735.7, 618.6, 338.8, 284.9,  7.024,  8.897, 16.223, 17.111
HD 141004 b                   ,  0.043,       ,     15.5,0.160, 19.5,  0.0,  0.0,1233.4,1037.2,1049.6, 882.6,  1.075,  1.362,  2.395,  2.526
HD 141399 b                   ,  0.451,       ,     94.4,0.040,270.0,  0.0,  0.0, 566.4, 476.3, 544.2, 457.6,  0.884,  1.119,  1.984,  2.092
HD 141399 c                   ,  1.330,       ,    202.0,0.048,220.0,  0.0,  0.0, 441.5, 371.2, 420.7, 353.8,  0.884,  1.119,  1.984,  2.092
HD 141399 d                   ,  1.180,       ,   1069.8,0.074,220.0, 24.1, 48.1, 257.0, 216.1, 238.6, 200.7,  0.884,  1.119,  1.984,  2.092
HD 141399 e                   ,  0.660,       ,   5000.0,0.260,350.0,  0.0,  0.0, 185.9, 156.3, 142.4, 119.8,  0.884,  1.119,  1.984,  2.092
HD 141937 b                   ,  9.690,       ,    653.2,0.410, 90.0, 40.2, 59.7, 363.1, 305.3, 234.9, 197.5,  0.794,  1.005,  1.769,  1.865
HD 142022 A b                 ,  4.440,       ,   1928.0,0.530, 90.0,  8.3, 10.1, 270.1, 227.1, 149.7, 125.9,  0.702,  0.889,  1.584,  1.671
HD 142245 b                   ,  3.070,       ,   1299.0,0.000, 90.0,  0.0,100.0, 364.2, 306.3, 364.2, 306.3,  2.642,  3.347,  6.076,  6.408
HD 142415 b                   ,  1.670,       ,    386.3,0.500, 90.0, 67.5, 79.3, 477.1, 401.2, 275.4, 231.6,  0.817,  1.035,  1.818,  1.917
HD 143105 b                   ,  1.210,       ,      2.2,0.070, 90.0,  0.0,  0.0,2245.3,1888.1,2093.3,1760.2,  1.172,  1.484,  2.584,  2.726
HD 143361 b                   ,  3.532,       ,   1039.2,0.197,241.9,  0.0,  0.0, 239.2, 201.1, 195.9, 164.7,  0.635,  0.804,  1.429,  1.507
HD 145377 b                   ,  6.020,       ,    103.9,0.310, 90.0,  0.0,  0.0, 634.1, 533.2, 460.2, 387.0,  0.842,  1.066,  1.869,  1.972
HD 145457 b                   ,  2.794,       ,    176.1,0.111,311.4,  0.0,  0.0,1043.5, 877.5, 933.4, 784.9,  5.324,  6.743, 12.327, 13.002
HD 1461 b                     ,  0.020,       ,      5.8,0.172, 90.0,  0.0,  0.0,1498.5,1260.1,1259.6,1059.2,  0.807,  1.022,  1.803,  1.902
HD 1461 c                     ,  0.018,       ,     13.5,0.305, 90.0,  0.0,  0.0,1232.3,1036.2, 899.3, 756.2,  0.807,  1.022,  1.803,  1.902
HD 147018 b                   ,  2.120,       ,     44.2,0.469,336.0,  0.0,  0.0, 868.0, 729.9, 522.1, 439.0,  0.667,  0.845,  1.505,  1.587
HD 147018 c                   ,  6.560,       ,   1008.0,0.133,226.9,  0.0,  0.0, 239.5, 201.4, 209.5, 176.2,  0.667,  0.845,  1.505,  1.587
HD 147379 b                   ,  0.068,       ,     86.6,0.063,130.1, 49.1,100.0, 338.9, 285.0, 318.2, 267.6,  0.254,  0.321,  0.606,  0.639
HD 147513 b                   ,  1.210,       ,    528.4,0.260,282.0, 85.9,100.0, 333.2, 280.2, 255.4, 214.7,  0.737,  0.934,  1.642,  1.732
HD 147873 b                   ,  5.140,       ,    116.6,0.207, 80.2,  0.0,  0.0, 805.4, 677.3, 652.8, 549.0,  1.815,  2.299,  4.035,  4.256
HD 147873 c                   ,  2.300,       ,    491.5,0.230, 41.8,  0.0,  0.0, 506.4, 425.8, 400.7, 336.9,  1.815,  2.299,  4.035,  4.256
HD 14787 b                    ,  1.121,       ,    676.6,0.155,343.0,  0.0,  0.0, 529.6, 445.3, 453.0, 380.9,  2.884,  3.653,  6.625,  6.987
HD 148156 b                   ,  0.850,       ,   1027.0,0.520, 35.0, 21.6, 28.9, 352.8, 296.7, 198.3, 166.7,  0.970,  1.228,  2.140,  2.258
HD 148164 b                   ,  1.230,       ,    328.5,0.587,141.5, 42.1, 63.7, 625.4, 525.9, 319.1, 268.3,  1.081,  1.369,  2.399,  2.530
HD 148164 c                   ,  5.160,       ,   5062.0,0.125,152.0,  0.0,  0.0, 172.7, 145.2, 152.3, 128.0,  1.081,  1.369,  2.399,  2.530
HD 148427 b                   ,  1.300,       ,    331.5,0.160, 90.0,  0.0,  0.0, 605.6, 509.3, 515.4, 433.4,  2.285,  2.894,  5.232,  5.519
HD 149026 b                   ,  0.380,  0.740,      2.9,0.000, 90.0,  0.0,  0.0,1994.6,1677.2,1994.6,1677.2,  1.181,  1.496,  2.614,  2.758
HD 149143 b                   ,  1.330,       ,      4.1,0.017,217.0,  0.0,  0.0,1774.8,1492.4,1745.4,1467.7,  1.118,  1.416,  2.491,  2.628
HD 150010 b                   ,  2.400,       ,    562.0,0.200,137.0,  0.0,  0.0, 979.7, 823.8, 799.9, 672.6,  7.918, 10.029, 18.858, 19.890
HD 1502 b                     ,  2.750,       ,    428.5,0.031,126.0,  0.0,  0.0, 554.3, 466.1, 537.4, 451.9,  2.689,  3.406,  6.177,  6.515
HD 150706 b                   ,  2.710,       ,   5894.0,0.380,132.0,  0.0,  0.0, 164.3, 138.2, 110.1,  92.6,  0.759,  0.961,  1.687,  1.779
HD 152079 b                   ,  2.661,       ,   2918.9,0.532,332.9,  0.0,  4.7, 257.0, 216.1, 142.0, 119.4,  0.878,  1.112,  1.955,  2.062
HD 152581 b                   ,  1.869,       ,    686.5,0.040,181.0,  0.0,  0.0, 517.6, 435.3, 497.3, 418.2,  3.045,  3.856,  6.971,  7.353
HD 152843 b                   ,  0.036,  0.304,     11.6,0.140, 90.0,  0.0,  0.0,1437.7,1208.9,1248.7,1050.0,  1.240,  1.570,  2.737,  2.886
HD 152843 c                   ,  0.087,  0.520,     24.4,0.115, 90.0,  0.0,  0.0,1107.6, 931.4, 986.8, 829.8,  1.240,  1.570,  2.737,  2.886
HD 15337 b                    ,  0.021,  0.158,      4.8,0.058, 71.6,  0.0,  0.0,1229.2,1033.6,1159.9, 975.3,  0.525,  0.665,  1.197,  1.263
HD 15337 c                    ,  0.021,  0.225,     17.2,0.096, 56.6,  0.0,  0.0, 817.8, 687.7, 742.7, 624.5,  0.525,  0.665,  1.197,  1.263
HD 153950 b                   ,  2.950,       ,    499.4,0.340, 90.0, 56.5, 76.5, 432.2, 363.4, 303.3, 255.1,  1.057,  1.339,  2.342,  2.470
HD 154088 b                   ,  0.021,       ,     18.6,0.344, 90.0,  0.0,  0.0,1036.2, 871.3, 723.9, 608.7,  0.661,  0.837,  1.494,  1.576
HD 154345 b                   ,  0.820,       ,   3341.6,0.040, 90.0,  0.0,  0.0, 143.8, 120.9, 138.1, 116.2,  0.582,  0.737,  1.312,  1.384
HD 154391 b                   ,  9.100,       ,   5163.0,0.200,310.0, 87.1,100.0, 336.9, 283.3, 275.1, 231.3,  4.857,  6.152, 11.174, 11.785
HD 154672 b                   ,  5.370,       ,    163.9,0.610, 90.0,  0.0,  0.0, 782.1, 657.6, 384.9, 323.7,  0.981,  1.243,  2.193,  2.313
HD 154857 b                   ,  2.450,       ,    408.6,0.460, 90.0,  0.0, 42.3, 582.3, 489.6, 354.1, 297.8,  1.634,  2.069,  3.669,  3.870
HD 154857 c                   ,  2.580,       ,   3452.0,0.060,352.0,  0.0,  0.0, 189.9, 159.7, 178.9, 150.4,  1.256,  1.591,  2.820,  2.974
HD 155193 b                   ,  0.750,       ,    352.6,0.210, 62.9,  0.0, 38.3, 459.5, 386.4, 371.2, 312.2,  1.154,  1.461,  2.550,  2.689
HD 155358 b                   ,  0.990,       ,    194.3,0.170, 90.0,  0.0,  0.0, 550.0, 462.5, 463.3, 389.6,  1.074,  1.360,  2.391,  2.522
HD 155358 c                   ,  0.820,       ,    391.9,0.160,180.0,  0.0, 53.9, 419.9, 353.1, 357.3, 300.5,  1.026,  1.299,  2.284,  2.409
HD 156411 b                   ,  0.740,       ,    842.2,0.220, 45.0, 27.7, 68.5, 416.6, 350.3, 333.1, 280.1,  1.728,  2.189,  3.849,  4.059
HD 156668 b                   ,  0.013,       ,      4.6,0.000, 90.0,  0.0,  0.0,1691.0,1422.0,1691.0,1422.0,  1.028,  1.302,  2.370,  2.500
HD 156668 c                   ,  0.099,       ,    811.3,0.089,349.1,  0.0,  0.0, 206.9, 174.0, 189.2, 159.1,  0.439,  0.556,  1.010,  1.066
HD 156846 b                   , 10.670,       ,    359.5,0.850, 90.0, 27.1, 58.9,1174.3, 987.4, 334.4, 281.2,  1.555,  1.969,  3.447,  3.636
HD 158038 b                   ,  1.530,       ,    521.0,0.290, 90.0,  0.0,  0.0, 572.8, 481.7, 424.9, 357.3,  2.511,  3.180,  5.788,  6.105
HD 158996 b                   , 14.000,       ,    820.2,0.130,168.0,  0.0,  0.0,1389.8,1168.7,1219.5,1025.5, 26.049, 32.995, 62.295, 65.706
HD 15906 b                    ,       ,  0.200,     10.9,0.110,160.5,  0.0,  0.0, 843.6, 709.4, 755.4, 635.2,  0.411,  0.521,  0.953,  1.005
HD 15906 c                    ,       ,  0.261,     21.6,0.040,247.9,  0.0,  0.0, 649.0, 545.7, 623.5, 524.3,  0.411,  0.521,  0.953,  1.005
HD 159243 b                   ,  1.130,       ,     12.6,0.020,223.0,  0.0,  0.0,1077.3, 905.9,1055.9, 887.9,  0.838,  1.061,  1.857,  1.958
HD 159243 c                   ,  1.900,       ,    248.4,0.075, 69.0,  0.0, 30.1, 411.2, 345.7, 381.4, 320.7,  0.838,  1.061,  1.857,  1.958
HD 159868 b                   ,  2.218,       ,   1184.1,0.024, 63.0,100.0,100.0, 307.7, 258.8, 300.4, 252.6,  1.488,  1.885,  3.347,  3.531
HD 159868 c                   ,  0.768,       ,    351.0,0.184,272.0,  0.0,  0.0, 504.6, 424.3, 418.9, 352.3,  1.488,  1.885,  3.347,  3.531
HD 1605 b                     ,  0.934,       ,    577.2,0.095,216.0,  0.0,  0.0, 454.4, 382.1, 413.1, 347.4,  1.998,  2.531,  4.596,  4.848
HD 1605 c                     ,  3.620,       ,   2149.0,0.099,233.0,100.0,100.0, 293.8, 247.1, 266.0, 223.7,  1.998,  2.531,  4.596,  4.848
HD 160691 b                   ,  4.300,       ,    645.0,0.000, 39.0,100.0,100.0, 309.5, 260.2, 309.5, 260.2,  0.997,  1.263,  2.227,  2.349
HD 160691 c                   ,  4.400,       ,   3947.0,0.000, 84.0,  0.0,  0.0, 169.2, 142.3, 169.2, 142.3,  0.997,  1.263,  2.227,  2.349
HD 160691 d                   ,       ,       ,      9.6,0.000,197.0,  0.0,  0.0,1256.3,1056.4,1256.3,1056.4,  0.997,  1.263,  2.227,  2.349
HD 160691 e                   ,  7.000,       ,    307.9,0.000,193.0,  0.0,  0.0, 396.0, 333.0, 396.0, 333.0,  0.997,  1.263,  2.227,  2.349
HD 161178 b                   ,  0.570,       ,    279.3,0.044,300.0,  0.0,  0.0,1006.8, 846.6, 963.4, 810.1,  5.937,  7.521, 13.731, 14.483
HD 16141 b                    ,  0.260,       ,     75.5,0.250, 90.0,  0.0,  0.0, 772.8, 649.9, 598.6, 503.4,  1.104,  1.399,  2.468,  2.603
HD 16175 b                    ,  5.100,       ,    990.0,0.600, 90.0, 40.6, 58.0, 488.4, 410.7, 244.2, 205.3,  1.367,  1.731,  3.037,  3.204
HD 162020 b                   ,  9.840,       ,      8.4,0.280, 90.0,  0.0,  0.0, 977.2, 821.7, 732.9, 616.3,  0.398,  0.503,  0.922,  0.972
HD 163607 b                   ,  0.784,       ,     75.2,0.744, 79.6,  0.0,  0.0,1380.0,1160.5, 528.6, 444.5,  1.225,  1.552,  2.757,  2.908
HD 163607 c                   ,  2.201,       ,   1272.0,0.080,274.0,100.0,100.0, 283.3, 238.2, 261.4, 219.8,  1.225,  1.552,  2.757,  2.908
HD 164509 b                   ,  0.443,       ,    280.2,0.238,326.0,  0.0, 59.5, 435.9, 366.6, 342.0, 287.6,  0.857,  1.086,  1.911,  2.016
HD 164595 b                   ,  0.051,       ,     40.0,0.088,145.0,  0.0,  0.0, 721.9, 607.1, 661.0, 555.8,  0.747,  0.947,  1.669,  1.760
HD 164922 b                   ,  0.365,       ,   1207.0,0.080,116.0,  0.0,  0.0, 215.7, 181.4, 199.1, 167.4,  0.647,  0.819,  1.462,  1.542
HD 164922 c                   ,  0.041,       ,     75.7,0.120,331.0,  0.0,  0.0, 555.0, 466.7, 492.0, 413.7,  0.647,  0.819,  1.462,  1.542
HD 164922 d                   ,  0.013,       ,     12.5,0.120,312.0,  0.0,  0.0,1009.9, 849.2, 895.2, 752.8,  0.647,  0.819,  1.462,  1.542
HD 164922 e                   ,  0.033,       ,     41.8,0.086,342.8,  0.0,  0.0, 676.2, 568.7, 620.4, 521.7,  0.670,  0.849,  1.514,  1.597
HD 165131 b                   , 18.700,       ,   2342.6,0.671,  3.6,  9.9, 10.9, 325.1, 273.4, 144.3, 121.3,  0.838,  1.061,  1.867,  1.969
HD 165155 b                   ,  2.890,       ,    434.5,0.200,212.0,100.0,100.0, 318.7, 268.0, 260.2, 218.8,  0.641,  0.812,  1.447,  1.526
HD 1666 b                     ,  6.430,       ,    270.0,0.630,294.0,  0.0,  0.0, 855.0, 719.0, 407.4, 342.5,  1.683,  2.132,  3.715,  3.919
HD 166724 b                   ,  3.530,       ,   5144.0,0.734,202.3,  0.0,  0.0, 205.8, 173.1,  80.6,  67.8,  0.433,  0.549,  0.988,  1.042
HD 167042 b                   ,  1.397,       ,    417.7,0.010, 54.4,  0.0,  0.0, 553.8, 465.7, 548.3, 461.1,  2.655,  3.362,  6.105,  6.439
HD 167677 b                   ,  2.850,       ,   1820.0,0.182,302.0,  0.0,  0.0, 203.4, 171.0, 169.2, 142.3,  0.678,  0.859,  1.528,  1.611
HD 167768 b                   ,  0.850,       ,     20.7,0.149, 58.7,  0.0,  0.0,2413.9,2029.8,2077.4,1746.9,  5.389,  6.827, 12.429, 13.110
HD 168009 b                   ,  0.030,       ,     15.1,0.120, 13.2,  0.0,  0.0,1125.0, 946.0, 997.2, 838.6,  0.908,  1.150,  2.028,  2.139
HD 168746 b                   ,  0.270,       ,      6.4,0.110, 90.0,  0.0,  0.0,1335.8,1123.3,1196.2,1005.8,  0.770,  0.975,  1.730,  1.825
HD 1690 b                     ,  8.790,       ,    533.0,0.640, 90.0,  0.0,  0.0,1668.1,1402.7, 781.5, 657.2,  9.971, 12.630, 23.495, 24.781
HD 170469 b                   ,  0.660,       ,   1145.0,0.110, 90.0, 29.9, 45.1, 264.2, 222.1, 236.5, 198.9,  0.948,  1.201,  2.114,  2.230
HD 17092 b                    , 10.130,       ,    359.9,0.170, 90.0,  0.0,  0.0, 876.6, 737.1, 738.3, 620.8,  6.124,  7.757, 14.463, 15.255
HD 171028 b                   ,  2.620,       ,    550.0,0.590, 90.0,  0.0, 43.9, 694.6, 584.1, 352.7, 296.6,  1.798,  2.277,  4.027,  4.248
HD 171238 b                   ,  2.720,       ,   1532.0,0.234, 97.0,  0.0,  0.0, 224.2, 188.5, 176.6, 148.5,  0.690,  0.874,  1.557,  1.642
HD 17156 b                    ,  3.510,  1.100,     21.2,0.680, 90.0,  0.0,  0.0,1858.5,1562.8, 811.1, 682.1,  1.251,  1.585,  2.778,  2.930
HD 173416 b                   ,  1.841,       ,    322.0,0.208,242.1,  0.0,  0.0,1027.8, 864.3, 832.2, 699.8,  7.014,  8.884, 16.293, 17.185
HD 174205 b                   ,  4.200,       ,    582.0,0.400, 94.0,  0.0,  0.0,1289.5,1084.4, 844.2, 709.9, 12.440, 15.757, 29.404, 31.014
HD 175541 b                   ,  0.598,       ,    298.4,0.110,129.0,  0.0,  0.0, 631.6, 531.1, 565.5, 475.6,  2.470,  3.128,  5.658,  5.968
HD 175607 b                   ,  0.028,       ,     29.0,0.110,142.0,  0.0,  0.0, 675.3, 567.9, 604.7, 508.5,  0.468,  0.593,  1.058,  1.115
HD 17674 b                    ,  0.870,       ,    623.8,0.130, 90.0,100.0,100.0, 330.8, 278.2, 290.3, 244.1,  0.918,  1.163,  2.044,  2.156
HD 176986 b                   ,  0.018,       ,      6.5,0.066,249.0,  0.0,  0.0,1036.1, 871.2, 969.8, 815.5,  0.452,  0.573,  1.039,  1.096
HD 176986 c                   ,  0.029,       ,     16.8,0.111,270.0,  0.0,  0.0, 773.2, 650.1, 691.6, 581.6,  0.452,  0.573,  1.039,  1.096
HD 177830 b                   ,  1.690,       ,    410.1,0.100, 90.0,  0.0,  0.0, 500.9, 421.2, 453.1, 381.0,  1.846,  2.339,  4.249,  4.482
HD 177830 c                   ,  0.150,       ,    110.9,0.300,110.0,  0.0,  0.0, 819.4, 689.0, 601.3, 505.6,  1.728,  2.188,  3.968,  4.186
HD 178911 B b                 ,  8.030,       ,     71.5,0.110, 90.0,  0.0,  0.0, 605.3, 509.0, 542.0, 455.8,  0.767,  0.971,  1.722,  1.817
HD 179079 b                   ,  0.081,       ,     14.5,0.049,308.0,  0.0,  0.0,1213.2,1020.2,1155.1, 971.3,  1.172,  1.484,  2.626,  2.770
HD 179949 b                   ,  0.916,       ,      3.1,0.022,192.0,  0.0,  0.0,1883.6,1583.9,1842.6,1549.5,  1.027,  1.301,  2.273,  2.397
HD 180053 b                   ,  2.194,       ,    213.7,0.081, 76.0,  0.0,  0.0, 673.5, 566.3, 621.0, 522.2,  2.492,  3.157,  5.685,  5.996
HD 18015 b                    ,  3.180,       ,   2278.0,0.148,265.0,100.0,100.0, 313.0, 263.2, 269.6, 226.7,  2.233,  2.828,  5.012,  5.286
HD 180314 b                   , 22.707,       ,    394.7,0.247,303.7,  0.0,  0.0, 817.0, 687.0, 634.9, 533.8,  5.216,  6.607, 11.996, 12.653
HD 180617 b                   ,  0.038,       ,    105.9,0.101,257.4, 64.9,100.0, 253.0, 212.7, 228.6, 192.2,  0.147,  0.186,  0.361,  0.381
HD 180902 b                   ,  1.685,       ,    510.9,0.107,181.0,  0.0,  0.0, 518.9, 436.3, 466.0, 391.9,  2.407,  3.049,  5.527,  5.829
HD 181342 b                   ,  2.540,       ,    564.1,0.022,290.0,  0.0,  0.0, 493.1, 414.7, 482.4, 405.6,  2.710,  3.433,  6.226,  6.567
HD 181433 b                   ,  0.020,       ,      9.4,0.400, 90.0,  0.0,  0.0,1144.0, 961.9, 748.9, 629.7,  0.450,  0.570,  1.035,  1.092
HD 181433 c                   ,  0.640,       ,    962.0,0.280, 21.4,  0.0,  0.0, 219.3, 184.4, 164.4, 138.3,  0.436,  0.552,  1.000,  1.055
HD 181433 d                   ,  0.540,       ,   2172.0,0.480,330.0,  0.0,  0.0, 197.6, 166.2, 117.1,  98.5,  0.436,  0.552,  1.000,  1.055
HD 181720 b                   ,  0.400,       ,    956.0,0.260, 90.0, 90.3,100.0, 344.3, 289.5, 263.8, 221.8,  1.113,  1.409,  2.488,  2.624
HD 183579 b                   ,  0.064,  0.311,     17.5,0.061,270.0,  0.0,  0.0, 922.0, 775.3, 867.3, 729.3,  0.722,  0.914,  1.611,  1.700
HD 184010 b                   ,  0.310,       ,    286.6,0.000,  0.0,  0.0,  0.0, 649.8, 546.4, 649.8, 546.4,  2.838,  3.594,  6.512,  6.869
HD 184010 c                   ,  0.300,       ,    484.3,0.000,  0.0,  0.0,  0.0, 545.5, 458.7, 545.5, 458.7,  2.838,  3.594,  6.512,  6.869
HD 184010 d                   ,  0.450,       ,    836.4,0.000,  0.0,  0.0,  0.0, 454.7, 382.3, 454.7, 382.3,  2.838,  3.594,  6.512,  6.869
HD 18438 b                    , 21.000,       ,    803.0,0.100,167.0,  0.0,  0.0,1330.2,1118.5,1203.2,1011.7, 24.792, 31.403, 59.910, 63.191
HD 185269 b                   ,  1.010,       ,      6.8,0.229,176.2,  0.0,  0.0,1971.1,1657.5,1561.2,1312.8,  1.564,  1.981,  3.481,  3.671
HD 18599 b                    ,  0.076,  0.232,      4.1,0.340,357.5,  0.0,  0.0,1453.4,1222.1,1020.0, 857.7,  0.474,  0.601,  1.081,  1.140
HD 187085 b                   ,  0.836,       ,   1019.7,0.251, 98.3, 56.5, 66.9, 315.2, 265.0, 243.9, 205.1,  1.047,  1.326,  2.319,  2.446
HD 187123 b                   ,  0.523,       ,      3.1,0.010, 25.0,  0.0,  0.0,1735.6,1459.5,1717.8,1444.5,  0.868,  1.100,  1.938,  2.045
HD 187123 c                   ,  1.990,       ,   3810.0,0.252,243.0,  0.0,  0.0, 186.3, 156.7, 144.0, 121.1,  0.868,  1.100,  1.938,  2.045
HD 18742 b                    ,  3.400,       ,    766.0,0.040,190.0,  0.0,  0.0, 485.3, 408.1, 466.3, 392.1,  2.946,  3.732,  6.770,  7.141
