PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
TOI-5301 b                    ,  3.720,  1.168,      5.9,0.330, 75.0,  0.0,  0.0,2396.0,2014.8,1700.6,1430.0,  1.867,  2.365,  4.128,  4.354
TOI-530 b                     ,  0.400,  0.830,      6.4,0.000, 90.0,  0.0,  0.0, 683.4, 574.7, 683.4, 574.7,  0.181,  0.229,  0.441,  0.465
TOI-5319 b                    ,       ,  0.252,      4.1,0.000, 90.0,  0.0,  0.0, 635.8, 534.6, 635.8, 534.6,  0.152,  0.193,  0.373,  0.394
TOI-532 b                     ,  0.194,  0.519,      2.3,0.000, 90.0,  0.0,  0.0,1024.9, 861.8,1024.9, 861.8,  0.230,  0.292,  0.554,  0.585
TOI-5344 b                    ,  0.412,  0.946,      3.8,0.054, 90.0,  0.0,  0.0, 843.0, 708.8, 798.6, 671.5,  0.202,  0.256,  0.490,  0.517
TOI-5388.01                   ,       ,  0.169,      2.6,0.000, 90.0,  0.0,  0.0, 715.2, 601.4, 715.2, 601.4,  0.093,  0.118,  0.228,  0.241
TOI-5398 b                    ,  0.185,  0.919,     10.6,0.130, 92.0,  0.0,  0.0,1207.8,1015.7,1059.8, 891.2,  0.839,  1.063,  1.865,  1.967
TOI-5398 c                    ,  0.037,  0.314,      4.8,0.140,172.0,  0.0,  0.0,1592.9,1339.5,1383.5,1163.4,  0.839,  1.063,  1.865,  1.967
TOI-540 b                     ,       ,  0.081,      1.2,0.000, 90.0,  0.0,  0.0, 726.4, 610.8, 726.4, 610.8,  0.048,  0.061,  0.120,  0.127
TOI-544 b                     ,  0.009,  0.180,      1.5,0.000,  0.0,  0.0,  0.0,1257.8,1057.7,1257.8,1057.7,  0.262,  0.332,  0.624,  0.658
TOI-544 c                     ,  0.068,       ,     50.1,0.320, 11.0,  0.0, 43.5, 479.1, 402.9, 343.9, 289.1,  0.262,  0.332,  0.624,  0.658
TOI-5542 b                    ,  1.320,  1.009,     75.1,0.018,125.6,  0.0,  0.0,1066.0, 896.4,1047.0, 880.4,  2.546,  3.225,  5.699,  6.011
TOI-558 b                     ,  3.610,  1.086,     14.6,0.298,132.3,  0.0,  0.0,1507.1,1267.3,1108.3, 932.0,  1.351,  1.711,  2.974,  3.137
TOI-559 b                     ,  6.010,  1.091,      7.0,0.151,297.7,  0.0,  0.0,1523.9,1281.4,1308.8,1100.5,  0.966,  1.224,  2.151,  2.268
TOI-5616 b                    ,  1.963,  0.961,      2.0,0.000, 90.0,  0.0,  0.0,1134.2, 953.7,1134.2, 953.7,  0.259,  0.328,  0.621,  0.655
TOI-5634 A b                  ,  1.850,  0.923,      2.2,0.000, 90.0,  0.0,  0.0, 980.9, 824.8, 980.9, 824.8,  0.194,  0.246,  0.468,  0.493
TOI-564 b                     ,  1.463,  1.020,      1.7,0.072, 94.0,  0.0,  0.0,2118.9,1781.8,1971.5,1657.8,  0.786,  0.995,  1.762,  1.858
TOI-5678 b                    ,  0.063,  0.438,     47.7,0.140,208.0,  0.0,  0.0, 658.2, 553.5, 571.7, 480.7,  0.646,  0.818,  1.454,  1.534
TOI-5688 A b                  ,  0.390,  0.920,      2.9,0.128,358.7,  0.0,  0.0, 951.4, 800.1, 836.5, 703.4,  0.198,  0.251,  0.483,  0.509
TOI-5704 b                    ,       ,  0.288,      3.8,0.000, 90.0,  0.0,  0.0,1108.6, 932.2,1108.6, 932.2,  0.381,  0.483,  0.889,  0.938
TOI-5713 b                    ,       ,  0.158,     10.4,0.240,221.0,  0.0,  0.0, 474.0, 398.5, 371.0, 312.0,  0.077,  0.097,  0.191,  0.202
TOI-5720 b                    ,  0.014,  0.097,      1.4,0.000, 90.0,  0.0,  0.0, 873.2, 734.2, 873.2, 734.2,  0.104,  0.132,  0.258,  0.273
TOI-5726.01                   ,       ,  0.228,      5.5,0.000, 90.0,  0.0,  0.0,1420.3,1194.4,1420.3,1194.4,  0.853,  1.081,  1.901,  2.005
